timestamp,level,service,message,trace_id,host,user_id,duration_ms,metadata
2026-03-19 19:51:58,INFO,user-service,User profile updated,,prod-server-04,user_7336,414,
2026-03-19 19:51:58,INFO,user-service,User profile updated,,prod-server-08,,499,
2026-03-19 19:52:00,INFO,user-service,User profile updated,,prod-server-06,,68,
2026-03-19 19:52:00,DEBUG,user-service,Account created,,prod-server-04,user_9005,,
2026-03-19 19:52:02,INFO,user-service,Account created,tr_257083,prod-server-07,user_7833,450,
2026-03-19 19:52:06,INFO,user-service,User profile updated,tr_796201,prod-server-02,user_5774,246,
2026-03-19 19:52:07,INFO,user-service,Account created,tr_373891,prod-server-05,,275,
2026-03-19 19:52:07,INFO,user-service,Account created,tr_140246,prod-server-07,user_6636,490,
2026-03-19 19:52:07,INFO,user-service,Preferences saved,,prod-server-02,user_3024,386,
2026-03-19 19:52:08,DEBUG,user-service,Preferences saved,tr_219210,prod-server-01,user_3368,,
2026-03-19 19:52:09,INFO,user-service,User profile updated,tr_841588,prod-server-03,user_8483,271,
2026-03-19 19:52:09,INFO,user-service,Preferences saved,tr_836687,prod-server-03,,395,
2026-03-19 19:52:10,INFO,user-service,Preferences saved,tr_846612,prod-server-04,user_7432,214,
2026-03-19 19:52:10,INFO,user-service,Preferences saved,,prod-server-04,user_1406,176,
2026-03-19 19:52:11,INFO,user-service,User profile updated,tr_198760,prod-server-06,,451,
2026-03-19 19:52:11,INFO,user-service,User profile updated,tr_854860,prod-server-05,,319,
2026-03-19 19:52:12,INFO,user-service,Account created,tr_466324,prod-server-04,user_8686,136,
2026-03-19 19:52:13,INFO,user-service,Preferences saved,tr_552528,prod-server-03,,114,
2026-03-19 19:52:13,INFO,user-service,Account created,tr_306900,prod-server-03,,91,
2026-03-19 19:52:14,INFO,user-service,Account created,,prod-server-10,user_3001,345,
2026-03-19 19:52:15,INFO,user-service,User profile updated,tr_564190,prod-server-06,user_3863,172,
2026-03-19 19:52:15,INFO,user-service,Account created,,prod-server-07,user_3547,145,
2026-03-19 19:52:15,INFO,user-service,Account created,tr_535815,prod-server-08,user_6487,216,
2026-03-19 19:52:16,INFO,user-service,Account created,tr_721626,prod-server-06,,167,
2026-03-19 19:52:19,INFO,user-service,User profile updated,tr_211714,prod-server-07,user_3541,78,
2026-03-19 19:52:20,INFO,user-service,Preferences saved,tr_471469,prod-server-04,,426,
2026-03-19 19:52:21,INFO,user-service,User profile updated,tr_695542,prod-server-08,,482,
2026-03-19 19:52:22,INFO,user-service,Account created,,prod-server-07,user_4856,436,
