timestamp,level,service,message,trace_id,host,user_id,duration_ms,metadata
2026-03-19 19:52:00,ERROR,payment-service,Insufficient funds,tr_978718,prod-server-06,user_2016,2368,"{""order_id"": ""4554"", ""amount"": 365.06, ""currency"": ""USD"", ""error_code"": ""GATEWAY_TIMEOUT""}"
2026-03-19 19:52:00,DEBUG,payment-service,Payment processed successfully,,prod-server-02,user_1251,,"{""order_id"": ""7830"", ""amount"": 425.06, ""currency"": ""USD""}"
2026-03-19 19:52:01,INFO,payment-service,Payment processed successfully,,prod-server-03,,59,"{""order_id"": ""5901"", ""amount"": 66.8, ""currency"": ""USD""}"
2026-03-19 19:52:02,INFO,payment-service,Payment processed successfully,,prod-server-03,,469,"{""order_id"": ""4065"", ""amount"": 485.38, ""currency"": ""USD""}"
2026-03-19 19:52:02,INFO,payment-service,Payment gateway connected,tr_446889,prod-server-05,,407,"{""order_id"": ""9114"", ""amount"": 336.29, ""currency"": ""USD""}"
2026-03-19 19:52:02,WARNING,payment-service,Payment processing slow,tr_182062,prod-server-10,user_5911,439,"{""order_id"": ""5673"", ""amount"": 93.54, ""currency"": ""USD""}"
2026-03-19 19:52:02,INFO,payment-service,Payment processed successfully,tr_316079,prod-server-10,,479,"{""order_id"": ""3615"", ""amount"": 157.31, ""currency"": ""USD""}"
2026-03-19 19:52:05,INFO,payment-service,Payment gateway connected,tr_154493,prod-server-09,user_5802,248,"{""order_id"": ""4882"", ""amount"": 125.87, ""currency"": ""USD""}"
2026-03-19 19:52:05,INFO,payment-service,Payment gateway connected,,prod-server-05,user_1601,349,"{""order_id"": ""7754"", ""amount"": 370.6, ""currency"": ""USD""}"
2026-03-19 19:52:06,INFO,payment-service,Payment gateway connected,tr_334242,prod-server-09,,358,"{""order_id"": ""9910"", ""amount"": 80.63, ""currency"": ""USD""}"
2026-03-19 19:52:06,INFO,payment-service,Refund initiated,tr_896645,prod-server-05,,357,"{""order_id"": ""8116"", ""amount"": 67.74, ""currency"": ""USD""}"
2026-03-19 19:52:07,INFO,payment-service,Payment gateway connected,,prod-server-08,,185,"{""order_id"": ""6676"", ""amount"": 167.26, ""currency"": ""USD""}"
2026-03-19 19:52:08,INFO,payment-service,Payment gateway connected,tr_536575,prod-server-08,user_9480,465,"{""order_id"": ""6256"", ""amount"": 161.77, ""currency"": ""USD""}"
2026-03-19 19:52:08,INFO,payment-service,Refund initiated,tr_910632,prod-server-10,user_3032,467,"{""order_id"": ""3098"", ""amount"": 495.96, ""currency"": ""USD""}"
2026-03-19 19:52:08,INFO,payment-service,Payment processed successfully,tr_600874,prod-server-07,user_9189,298,"{""order_id"": ""1755"", ""amount"": 438.82, ""currency"": ""USD""}"
2026-03-19 19:52:08,WARNING,payment-service,Payment processing slow,,prod-server-03,user_1112,132,"{""order_id"": ""9339"", ""amount"": 83.45, ""currency"": ""USD""}"
